tier,name,files_using,files_without_lib_import,files_with_lib_import,in_tradingview_ta_library,pandas_ta_equivalent,verdict,audited,audit_evidence,note,probe_env
1,linreg,50,47,3,0,linreg,have,no,,pandas_ta.linreg | PINEBI-0b not certified: offset semantics differ; covered by the ALTFIX kwargs sweep,talib 0.7.1; pandas 2.3.3
1+2,supertrend,43,42,1,1,supertrend,have,yes,RA2vGpkA-ta.pine:591 `direction == -1` is the uptrend; pandas_ta/overlap/supertrend.py:35 `dir_[i] = 1` is the uptrend there. Caveated.,"pandas_ta.supertrend (⚠ ⚠ DIRECTION SIGN IS INVERTED: the library's `direction == -1` is the uptrend (`RA2vGpkA-ta.pine:591`), pandas_ta's `SUPERTd == 1` is. The library also has a `wicks` option (reverse on high/low) with no pandas_ta equivalent)",talib 0.7.1; pandas 2.3.3
1,cum,37,36,1,0,cum,port - primitive,n/a,,"all-time running total (no length), belongs in pandas_ta/utils/, not Category; PINEBI-1a (landed: pandas_ta.cum)",talib 0.7.1; pandas 2.3.3
1,roc,30,29,1,0,roc,have,yes,PINEBI-0b measured: docs/audit_pine_have_rows.py:125 `ta.roc(` -- matches an independent implementation of the Pine v6 formula to 0.000e+00 over 286 bars,pandas_ta.roc,talib 0.7.1; pandas 2.3.3
1,correlation,29,29,0,0,correlation,port - primitive,n/a,,"rolling primitive, belongs in pandas_ta/utils/, not Category; PINEBI-1a (landed: pandas_ta.correlation)",talib 0.7.1; pandas 2.3.3
1,percentrank,27,27,0,0,percentrank,port - primitive,n/a,,"rolling primitive, belongs in pandas_ta/utils/, not Category; PINEBI-1a (landed: pandas_ta.percentrank)",talib 0.7.1; pandas 2.3.3
1,highestbars,25,23,2,0,highestbars,port - primitive,n/a,,"rolling primitive, belongs in pandas_ta/utils/, not Category; PINEBI-1a (landed: pandas_ta.highestbars)",talib 0.7.1; pandas 2.3.3
1,lowestbars,24,22,2,0,lowestbars,port - primitive,n/a,,"rolling primitive, belongs in pandas_ta/utils/, not Category; PINEBI-1a (landed: pandas_ta.lowestbars)",talib 0.7.1; pandas 2.3.3
1,alma,21,17,4,0,alma,have,no,,pandas_ta.alma | PINEBI-0b not certified: Pine's `offset`/`sigma` defaults differ from the fork's,talib 0.7.1; pandas 2.3.3
1,cross,19,19,0,0,cross,have,yes,core `ta.cross` is either-direction; pandas_ta/utils/_signals.py:79 `cross = current & previous if above else` is one direction per call. Caveated.,"pandas_ta.cross (⚠ ⚠ Pine's `ta.cross` is EITHER direction; `pandas_ta.cross` is one direction per call -- use `cross(a,b,True) | cross(a,b,False)`)",talib 0.7.1; pandas 2.3.3
1,mfi,18,18,0,0,mfi,have,no,,pandas_ta.mfi | PINEBI-0b not certified: Pine's tie handling on an unchanged typical price is unstated,talib 0.7.1; pandas 2.3.3
1,rising,17,17,0,0,increasing,have,yes,core is monotone over `length`; pandas_ta/trend/increasing.py:9 `strict` resolves to False. Caveated.,"pandas_ta.increasing (⚠ Pine's `ta.rising` is monotone over `length` bars; pass `strict=True` (and mind the window: pandas_ta compares `length` values, Pine `length` diffs))",talib 0.7.1; pandas 2.3.3
1,bb,16,15,1,0,bbands,have,no,,pandas_ta.bbands | PINEBI-0b not certified: 3 outputs; Pine's `mult` default and column order unverified,talib 0.7.1; pandas 2.3.3
1,cci,14,13,1,0,cci,have,yes,PINEBI-0b measured: docs/audit_pine_have_rows.py:168 `ta.cci(` -- matches an independent implementation of the Pine v6 formula to 0.000e+00 over 287 bars,pandas_ta.cci,talib 0.7.1; pandas 2.3.3
1,median,13,12,1,0,median,have,no,,"pandas_ta.median (⚠ Pine's `ta.median` is the nearest-rank median (`percentile_nearest_rank(src, len, 50)`), which returns an actual sample value; `pandas_ta.median` is `rolling().median()`, which averages the two middles at even lengths. Max divergence 1.0122 at length 14.)",talib 0.7.1; pandas 2.3.3
1,falling,12,12,0,0,decreasing,have,yes,core is monotone over `length`; pandas_ta/trend/decreasing.py:9 `strict` resolves to False. Caveated.,"pandas_ta.decreasing (⚠ ⚠ Pine's `ta.falling` is monotone over `length` bars; pass `strict=True` (and mind the window: pandas_ta compares `length` values, Pine `length` diffs))",talib 0.7.1; pandas 2.3.3
1,swma,11,8,3,0,swma,have,yes,pandas_ta/overlap/swma.py:8 `length = int(length)` defaults to 10 against TradingView's fixed 4-bar kernel. Caveated.,"pandas_ta.swma (⚠ ⚠ Pine's `ta.swma` is the FIXED 4-bar [1,2,2,1]/6 kernel and takes no length; `pandas_ta.swma` defaults to length=10 and says so in its own docstring ('variable length in contrast to TradingView's fixed length') -- pass `length=4`)",talib 0.7.1; pandas 2.3.3
1,mom,10,9,1,0,mom,have,yes,PINEBI-0b measured: docs/audit_pine_have_rows.py:128 `ta.mom(` -- matches an independent implementation of the Pine v6 formula to 0.000e+00 over 286 bars,pandas_ta.mom,talib 0.7.1; pandas 2.3.3
1,obv,10,9,1,0,obv,have,yes,"PINEBI-0b measured: docs/audit_pine_have_rows.py:156 `ta.obv(` -- identical to the Pine v6 formula up to a CONSTANT offset of 40429 over 300 bars -- an initialisation convention -- the fork seeds the running total with the first bar's volume, Pine's `ta.cum` treats the leading `na` as 0. ⚠ the offset is volume[0], so it differs per ticker: harmless within one series, NOT harmless across a cross-ticker feature matrix",pandas_ta.obv,talib 0.7.1; pandas 2.3.3
1,variance,10,9,1,0,variance,have,yes,core defaults `biased=true` (ddof=0); pandas_ta/statistics/variance.py:9 `else 0` resolves to the same. MATCHES -- no caveat. (An earlier round pasted `stdev`'s caveat here without running the code.),pandas_ta.variance,talib 0.7.1; pandas 2.3.3
1,percentile_nearest_rank,8,7,1,0,percentile_nearest_rank,port - primitive,n/a,,"rolling primitive, belongs in pandas_ta/utils/, not Category; PINEBI-1a (landed: pandas_ta.percentile_nearest_rank)",talib 0.7.1; pandas 2.3.3
1,sar,8,8,0,0,psar,have,yes,core returns one series; pandas_ta/trend/psar.py:104 `PSARl` is emitted beside PSARs. Caveated.,pandas_ta.psar (⚠ Pine's `ta.sar` is one series; `pandas_ta.psar` returns complementary `PSARl`/`PSARs` -- combine with `PSARl.fillna(PSARs)`),talib 0.7.1; pandas 2.3.3
1,wpr,8,7,1,0,willr,have,yes,PINEBI-0b measured: docs/audit_pine_have_rows.py:152 `ta.willr(` -- matches an independent implementation of the Pine v6 formula to 1.421e-14 over 287 bars,pandas_ta.willr,talib 0.7.1; pandas 2.3.3
1,percentile_linear_interpolation,6,6,0,0,percentile_linear_interpolation,port - primitive,n/a,,"rolling primitive, belongs in pandas_ta/utils/, not Category; PINEBI-1a (landed: pandas_ta.percentile_linear_interpolation)",talib 0.7.1; pandas 2.3.3
1,cmo,5,5,0,0,cmo,have,no,,"pandas_ta.cmo (⚠ `pandas_ta.cmo` DEFAULTS to `talib=True`, which Wilder-smooths the up/down sums; Pine's `ta.cmo` sums them plainly. Max divergence 42.48 on a +/-100 oscillator. `ta.cmo(close, talib=False)` matches Pine exactly -- the default does not.)",talib 0.7.1; pandas 2.3.3
1,tsi,5,5,0,0,tsi,have,no,,pandas_ta.tsi | PINEBI-0b not certified: double-smoothing order unverified against the reference,talib 0.7.1; pandas 2.3.3
1,dev,4,3,1,0,mad,have,yes,PINEBI-0b measured: docs/audit_pine_have_rows.py:130 `ta.mad(` -- matches an independent implementation of the Pine v6 formula to 0.000e+00 over 287 bars,pandas_ta.mad,talib 0.7.1; pandas 2.3.3
2,ema2,4,0,4,1,ema2,have,yes,"RA2vGpkA-ta.pine:158 `export ema2(series float source, series float length)` ported as pandas_ta/overlap/ema2.py:176 `def ema2(close, length=None, offset=None, **kwargs):` -- PINEBI-1c measured: 9 bars of warm-up saved vs `ema(10)`, per-bar Series length and a fractional scalar length reached; rho 0.99999 / 0.9998-1.0000","pandas_ta.ema2 -- PINEBI-1c KEPT: saves 9 bars of warm-up over `ema(10)` and takes a per-bar `Series` length, which `ema` raises on",talib 0.7.1; pandas 2.3.3
1,cog,3,3,0,0,cg,have,yes,PINEBI-0b measured: docs/audit_pine_have_rows.py:170 `ta.cg(` -- matches an independent implementation of the Pine v6 formula to 4.441e-15 over 287 bars,pandas_ta.cg,talib 0.7.1; pandas 2.3.3
1,kc,3,3,0,0,kc,have,no,,pandas_ta.kc | PINEBI-0b not certified: 3 outputs; Pine's `useTrueRange` default changes the band basis,talib 0.7.1; pandas 2.3.3
1,max,3,3,0,0,alltime_max,port - primitive,n/a,,"all-time running extreme (no length), belongs in pandas_ta/utils/, not Category; PINEBI-1a (landed: pandas_ta.alltime_max)",talib 0.7.1; pandas 2.3.3
2,requestVolumeDelta,3,0,3,1,,port - blocked on data,n/a,,needs lower-timeframe data below the engine's 1h floor; PINEBI-1d,talib 0.7.1; pandas 2.3.3
1,sum,3,3,0,0,,n/a - never called live in the corpus,n/a,,"`ta.sum(src, len)` IS a real built-in (sliding sum), but every corpus hit is a comment or `math.sum`/`array.sum` -- nothing live to port against",talib 0.7.1; pandas 2.3.3
none,adx,2,2,0,0,adx,n/a - not a Pine built-in,n/a,,"not a Pine built-in -- the built-in is `ta.dmi`. Both corpus hits are comments: `PTBeZtM4-BestTimeFrameFinder.pine:5` ('hand-rolled ADX (identical to ta.adx)') and `dUWBKgXM-SimTradeIndicators.pine:271`. It escaped the hand check because it RESOLVED to a pandas_ta name and so never reached this branch -- the check had been applied to names that failed to resolve, not to the population",talib 0.7.1; pandas 2.3.3
2,ao,1,0,1,1,ao,have,no,,pandas_ta.ao | PINEBI-0b not certified: Pine uses hl2 with 5/34 SMA; the fork's default source differs,talib 0.7.1; pandas 2.3.3
1+2,aroon,1,1,0,1,aroon,have,yes,"RA2vGpkA-ta.pine:94 `ta.highestbars(high, length)` (L-bar) vs pandas_ta/trend/aroon.py:19 `rolling(length + 1)`. Caveated.","pandas_ta.aroon (⚠ ⚠ window off by one: the library is `100 * (highestbars(high, L) + L) / L` (`RA2vGpkA-ta.pine:93`), an L-bar window whose Aroon-Up cannot fall below 100/L; `pandas_ta.aroon` rolls L+1 bars and does reach 0)",talib 0.7.1; pandas 2.3.3
none,covariance,1,1,0,0,covariance,n/a - not a Pine built-in,n/a,,"hit is the comment ""Pine has no native ta.covariance""",talib 0.7.1; pandas 2.3.3
2,dema,1,0,1,1,dema,have,yes,PINEBI-0b measured: docs/audit_pine_have_rows.py:163 `ta.dema(` -- matches an independent implementation of the Pine v6 formula to 0.000e+00 over 287 bars,pandas_ta.dema,talib 0.7.1; pandas 2.3.3
2,highestSince,1,0,1,1,highest_since,port - primitive,n/a,,"rolling primitive, belongs in pandas_ta/utils/, not Category; PINEBI-1a (landed: pandas_ta.highest_since)",talib 0.7.1; pandas 2.3.3
2,ichimoku,1,0,1,1,ichimoku,have,no,,pandas_ta.ichimoku | PINEBI-0b not certified: 5 lines with two forward displacements; needs a live chart,talib 0.7.1; pandas 2.3.3
1,kcw,1,1,0,0,,n/a - measured and reverted on Gate E,n/a,,"rho +0.9843 vs `natr`, n=37,030. Both are an ATR-scaled width; the Keltner framing does not make it a different measurement.",talib 0.7.1; pandas 2.3.3
2,lowestSince,1,0,1,1,lowest_since,port - primitive,n/a,,"rolling primitive, belongs in pandas_ta/utils/, not Category; PINEBI-1a (landed: pandas_ta.lowest_since)",talib 0.7.1; pandas 2.3.3
1,min,1,1,0,0,alltime_min,port - primitive,n/a,,"all-time running extreme (no length), belongs in pandas_ta/utils/, not Category; PINEBI-1a (landed: pandas_ta.alltime_min)",talib 0.7.1; pandas 2.3.3
none,normalize,1,1,0,0,normalize,n/a - not a Pine built-in,n/a,,hit is a comment in a third-party lib describing its own fn,talib 0.7.1; pandas 2.3.3
none,pivot,1,1,0,0,pivot,n/a - not a Pine built-in,n/a,,user-defined; the built-in is `ta.pivot_point_levels`,talib 0.7.1; pandas 2.3.3
1,pivot_point_levels,1,1,0,0,pivot_point_levels,port - primitive,n/a,,"period-anchored levels (no rolling window), belongs in pandas_ta/utils/, not Category; PINEBI-1a (landed: pandas_ta.pivot_point_levels)",talib 0.7.1; pandas 2.3.3
2,requestUpAndDownVolume,1,0,1,1,,port - blocked on data,n/a,,needs lower-timeframe data below the engine's 1h floor; PINEBI-1d,talib 0.7.1; pandas 2.3.3
2,rms,1,0,1,1,,n/a - measured and reverted on Gate E,n/a,,"rho +0.9900 vs `NWE_MID_200_8.0_8.0`, n=35,944. A percent distance to a smooth central tendency, which the engine has several of.",talib 0.7.1; pandas 2.3.3
2,stc,1,0,1,1,stc,have,yes,"RA2vGpkA-ta.pine:527 `export stc(series float source, simple int fast, simple int slow, simple int cycle, simple int d1, simple int d2) =>` ported as pandas_ta/momentum/stc_tv.py:54 `def stc_tv(close, fast=None, slow=None, cycle=None, d1=None, d2=None,` -- renamed because this forks `stc` is a different calculation (round 7: no d1/d2, no clamp, and a lowest_xmacd > 0 guard that freezes its first stochastic whenever the rolling MACD minimum is <= 0). Gate E rho +0.8136 vs rsx, n=36,738 -- ships WITH DISCLOSURE","ported as `stc_tv` (pandas_ta/momentum/stc_tv.py), NOT as `stc`: this fork's `stc` is a different calculation -- no `d1`/`d2`, no clamp, and a `lowest_xmacd > 0` guard that freezes its first stochastic whenever the rolling MACD minimum is <= 0, the normal case for a zero-centred oscillator. Same `t3`/`t3_tv` precedent PINEBI-1c set. Gate E: rho +0.8136 vs `rsx`, n=36,738 -- ships with disclosure.",talib 0.7.1; pandas 2.3.3
2,stochFull,1,0,1,1,stoch,have,yes,"RA2vGpkA-ta.pine:541 `export stochFull(simple int periodK, simple int smoothK, simple int periodD) =>` against pandas_ta/momentum/stoch.py:28 `stoch_k = sma(stoch, length=smooth_k)` -- PINEBI-1c measured: `stoch(k=periodK, d=periodD, smooth_k=smoothK)` reproduces it to max|diff| 0.0 on the 400-bar fixture, including at smoothK != periodD; 2.59e-12 worst case across 40 BIST_100 dailies (float summation order in a ~5,700-bar rolling window, not a behavioural difference), rho 1.0 on all 40. DELETED rather than shipped","pandas_ta.stoch -- PINEBI-1c DELETED, not shipped: `stoch(k=periodK, d=periodD, smooth_k=smoothK)` reproduces it bit for bit on the 400-bar fixture (max|diff| 0.0, including at smoothK != periodD) and to 2.59e-12 across 40 BIST_100 dailies, rho 1.0 on all 40; saves no warm-up and reaches no parameter the sibling lacks -- `smooth_k` has always been separate from `d`",talib 0.7.1; pandas 2.3.3
2,stochRsi,1,0,1,1,stochrsi,have,yes,"RA2vGpkA-ta.pine:554 `export stochRsi(` against pandas_ta/momentum/stochrsi.py:28 `stochrsi_k = sma(stoch, length=k)` -- PINEBI-1c measured: `stochrsi(length=periodK, rsi_length=lengthRsi, k=smoothK, d=periodD)` reproduces it to max|diff| 0.0; DELETED rather than shipped","pandas_ta.stochrsi -- PINEBI-1c DELETED, not shipped: `stochrsi(length=periodK, rsi_length=lengthRsi, k=smoothK, d=periodD)` reproduces it bit for bit (max|diff| 0.0, rho 1.0 on all 40 tickers)",talib 0.7.1; pandas 2.3.3
2,uo,1,0,1,1,uo,have,no,,pandas_ta.uo | PINEBI-0b not certified: Pine's weighting of the three periods unverified,talib 0.7.1; pandas 2.3.3
2,atr2,0,0,0,1,atr2,have,yes,"RA2vGpkA-ta.pine:102 `export atr2(series float length) =>` ported as pandas_ta/volatility/atr2.py:56 `def atr2(high, low, close, length=None, drift=None, offset=None, **kwargs):` -- PINEBI-1c measured: 14 bars of warm-up saved vs `atr(14)`, per-bar Series length reached; rho vs sibling 0.9708 on the 400-bar fixture, 0.9963-1.0000 across 40 BIST_100 daily parquets",pandas_ta.atr2 -- PINEBI-1c KEPT: saves 14 bars over `atr(14)` and takes a per-bar `Series` length (exported but never called in the corpus),talib 0.7.1; pandas 2.3.3
2,cagr,0,0,0,1,cagr,n/a - not worth a primitive,n/a,,"`cagr(entryTime, entryPrice, exitTime, exitPrice)` is a two-POINT growth rate over arbitrary endpoints (`RA2vGpkA-ta.pine:114`). `pandas_ta.cagr` is a whole-series scalar over the first and last bar with no endpoint arguments -- it cannot express the call. A two-point CAGR is a one-liner; same ruling as `changePercent` (exported but never called in the corpus)",talib 0.7.1; pandas 2.3.3
2,changePercent,0,0,0,1,,n/a - not worth a primitive,n/a,,`100 * (a - b) / b` on two ARBITRARY series (library docstring: 'between two distinct values'). `percent_return` is a one-series rolling return and is NOT the same function; this one is a one-liner at the call site and needs no primitive (exported but never called in the corpus),talib 0.7.1; pandas 2.3.3
2,coppock,0,0,0,1,coppock,have,no,,pandas_ta.coppock (exported but never called in the corpus) | PINEBI-0b not certified: Pine's wma of summed ROCs; period defaults unverified,talib 0.7.1; pandas 2.3.3
2,dema2,0,0,0,1,dema2,have,yes,"RA2vGpkA-ta.pine:168 `export dema2(series float source, series float length) =>` ported as pandas_ta/overlap/dema2.py:33 `def dema2(close, length=None, offset=None, **kwargs):` -- PINEBI-1c measured: 9 bars of warm-up saved vs `dema(10)`, per-bar Series length reached; rho 0.99997 / 0.9980-1.0000",pandas_ta.dema2 -- PINEBI-1c KEPT: saves 9 bars over `dema(10)` and takes a per-bar `Series` length (exported but never called in the corpus),talib 0.7.1; pandas 2.3.3
2,dm,0,0,0,1,dm,n/a - measured and reverted on Gate E,n/a,,"rho +0.8992 (`DEM_14`) vs `vortex_VTXP_14`, n=37,059. Reverted on the APPROXIMATE reading of the ship line: `CLAUDE.md` writes ""rho ~ 0.9 -> revert"", and 0.8992 is that. A hard 0.90 cutoff would have shipped it on the strength of the fourth decimal. (exported but never called in the corpus)",talib 0.7.1; pandas 2.3.3
2,donchian,0,0,0,1,donchian,have,no,,pandas_ta.donchian (exported but never called in the corpus) | PINEBI-0b not certified: Pine returns the middle line only; the fork returns 3 columns,talib 0.7.1; pandas 2.3.3
2,eom,0,0,0,1,eom,have,yes,RA2vGpkA-ta.pine:196 `div = 10000` vs pandas_ta/volume/eom.py:10 `100000000`. Caveated.,"pandas_ta.eom (⚠ ⚠ divisor default differs by 1e4: the library uses `div = 10000` (`RA2vGpkA-ta.pine:196`), `pandas_ta.eom` uses 100000000) (exported but never called in the corpus)",talib 0.7.1; pandas 2.3.3
2,frama,0,0,0,1,frama,have,yes,"RA2vGpkA-ta.pine:205 `export frama(series float source, series int length) =>` ported as pandas_ta/overlap/frama.py:49 `def frama(high, low, close, length=None, offset=None, **kwargs):` -- variable-alpha EWMA driven by the fractal dimension; ta.highest/lowest default to high/low NOT source, and n2 reads the window `half` bars back. Adaptive average is a price LEVEL so the shipped column is the percent distance, level behind raw=True (TALIB-1 convention). Gate E rho +0.8540 vs NWE_MID_200_8.0_8.0, n=35,944 -- ships WITH DISCLOSURE",pandas_ta.frama (exported but never called in the corpus),talib 0.7.1; pandas 2.3.3
2,ft,0,0,0,1,fisher,have,no,,pandas_ta.fisher (exported but never called in the corpus) | PINEBI-0b not certified: Fisher transform clamp bound unverified,talib 0.7.1; pandas 2.3.3
2,ht,0,0,0,1,ht,have,yes,"RA2vGpkA-ta.pine:246 `export ht(series float source) =>` ported as pandas_ta/cycles/ht.py:43 `def ht(close, offset=None, **kwargs):` -- the bare 4-tap quadrature FIR, NOT TA-Libs Hilbert state machine (this fork ships that separately as ht_dcperiod/ht_dcphase/ht_phasor/ht_sine/ht_trendline/ht_trendmode). Taps sum to zero so the raw filter is a price DIFFERENCE; shipped column is the percent form, raw=True gives the filter. Gate E rho +0.7660 vs ebsw, n=36,910 -- ships WITH DISCLOSURE",pandas_ta.ht (exported but never called in the corpus),talib 0.7.1; pandas 2.3.3
2,ift,0,0,0,1,,n/a - measured and reverted on Gate E,n/a,,"rho +1.0000 vs `RSI` -- and it is 1.0000 BY CONSTRUCTION, not by coincidence: the inverse Fisher transform is `tanh`, strictly monotone, so it is rank-identical to whatever drives it. A monotone transform can never add rank information over its input, and a tree that splits on thresholds gains literally nothing from it. No choice of driver fixes this. (exported but never called in the corpus)",talib 0.7.1; pandas 2.3.3
2,kvo,0,0,0,1,kvo,have,yes,RA2vGpkA-ta.pine:292 `* 100` absent from pandas_ta/volume/kvo.py:41 `signed_volume`. Caveated.,"pandas_ta.kvo (⚠ ⚠ scale: the library's trend is `sign(change(hlc3)) * volume * 100` (`RA2vGpkA-ta.pine:292`); `pandas_ta.kvo` omits the x100, so every value is 100x smaller. It also trims to `first_valid_index()` before the EMAs, changing the warm-up seed) (exported but never called in the corpus)",talib 0.7.1; pandas 2.3.3
2,pzo,0,0,0,1,pzo,have,yes,"RA2vGpkA-ta.pine:322 `export pzo(simple int length) =>` ported as pandas_ta/momentum/pzo.py:22 `def pzo(close, length=None, offset=None, **kwargs):` via the shared `zone()` helper (pandas_ta/momentum/_zone.py, Pine L315), one implementation for both pzo and vzo per the FVGENG no-fourth-copy rule. Gate D bit-identical x8/x64; column PZO_14",pandas_ta.pzo (exported but never called in the corpus),talib 0.7.1; pandas 2.3.3
2,relativeVolume,0,0,0,1,,n/a - measured and reverted on Gate E,n/a,,"rho +0.9980 vs the engine's own `VOL_RATIO`, n=37,024. The engine already ships this ratio. (exported but never called in the corpus)",talib 0.7.1; pandas 2.3.3
2,rma2,0,0,0,1,rma2,have,yes,"RA2vGpkA-ta.pine:496 `export rma2(series float source, series float length)` ported as pandas_ta/overlap/rma2.py:44 `def rma2(close, length=None, offset=None, **kwargs):` -- PINEBI-1c measured against `wilder_rma`, NOT `rma`: 9 bars saved, per-bar Series length reached; max|diff| 0.0711 vs wilder_rma against 0.4667 vs rma, so the two fork functions are not interchangeable","pandas_ta.rma2 -- PINEBI-1c KEPT: saves 9 bars over `wilder_rma(10)` (NOT `rma`, which is `adjust=True` and a different filter) and takes a per-bar `Series` length (exported but never called in the corpus)",talib 0.7.1; pandas 2.3.3
2,rwi,0,0,0,1,,n/a - measured and reverted on Gate E,n/a,,"rho +0.9399 (`RWIl_14`) vs `vortex_VTXM_14`, n=37,060. (exported but never called in the corpus)",talib 0.7.1; pandas 2.3.3
